"","age","minutes","lvalue","total_market_value","goals","assists","seleccion","pos_Defensa","pos_Delantero","pos_Medio Centro","pos_Portero","equipo_0","equipo_1","equipo_2","value"
"1",39,808,1e+06,168050000,7,2,1,0,1,0,0,1,0,0,5e+05
"2",40,563,5e+05,135130000,2,0,1,0,1,0,0,1,0,0,5e+05
"3",37,90,1e+05,28900000,0,0,0,0,0,0,1,1,0,0,1e+05
"4",35,1,5e+05,221300000,0,0,1,1,0,0,0,1,0,0,4e+05
"5",34,2552,1500000,385830000,0,0,1,0,0,0,1,1,0,0,1e+06
"6",35,0,1e+06,331030000,0,0,1,0,0,0,1,1,0,0,375000
"7",34,360,216666.666666667,54400000,0,0,0,0,0,0,1,1,0,0,1e+05
"8",34,2970,650000,94950000,0,0,1,0,0,0,1,1,0,0,433333.333333333
"9",35,0,433333.333333333,71780000,0,0,1,0,0,0,1,1,0,0,425000
"10",33,360,875000,434100000,0,0,1,0,0,0,1,1,0,0,1e+06
"11",34,360,1e+06,411100000,0,0,1,0,0,0,1,1,0,0,750000
"12",36,0,750000,510700000,0,0,1,0,0,0,1,1,0,0,6e+05
"13",34,1732,3e+06,659050000,1,1,1,1,0,0,0,0,0,1,1500000
"14",35,1346,1500000,112950000,0,1,1,1,0,0,0,1,0,0,1e+06
"15",34,277,2750000,197250000,0,1,1,0,1,0,0,1,0,0,1833333.33333333
"16",32,2836,13500000,1.17e+09,7,7,1,0,0,1,0,0,1,0,1.4e+07
"17",33,1708,1.4e+07,1e+09,4,4,1,0,0,1,0,0,1,0,13500000
"18",35,1752,13500000,969650000,0,1,1,0,0,1,0,0,1,0,6500000
"19",37,1509,4875000,404330000,11,5,1,0,1,0,0,0,0,1,3500000
"20",39,6865,3500000,547780000,70,18,1,0,1,0,0,0,0,1,3766666.66666667
"21",33,366,516666.666666667,139250000,0,0,1,1,0,0,0,1,0,0,2e+05
"22",35,1400,5750000,3.1e+08,8,8,1,0,1,0,0,1,0,0,2666666.66666667
"23",36,1401,2666666.66666667,272180000,17,1,1,0,1,0,0,1,0,0,1750000
"24",37,3810,2500000,347150000,0,0,1,0,0,0,1,0,0,1,1e+06
"25",34,3089,1666666.66666667,139250000,0,1,1,0,0,1,0,1,0,0,1e+06
"26",35,2036,1e+06,112950000,1,0,1,0,0,1,0,1,0,0,650000
"27",37,698,1500000,197250000,2,1,1,0,1,0,0,1,0,0,1250000
"28",37,1806,1083333.33333333,54500000,4,6,1,0,1,0,0,1,0,0,433333.333333333
"29",35,0,250000,1.13e+08,0,0,1,0,0,0,1,1,0,0,250000
"30",35,180,2e+06,529100000,0,0,1,0,0,0,1,1,0,0,1e+06
"31",36,0,1e+06,420300000,0,0,1,0,0,0,1,1,0,0,850000
"32",38,1890,850000,428100000,0,0,1,0,0,0,1,1,0,0,550000
"33",34,2346,2250000,503150000,23,7,1,0,1,0,0,1,0,0,1500000
"34",35,1233,1500000,400400000,10,3,1,0,1,0,0,1,0,0,1e+06
"35",37,1011,1e+06,123050000,9,2,1,0,1,0,0,1,0,0,8e+05
"36",34,1008,9666666.66666667,784880000,6,2,1,0,1,0,0,1,0,0,6e+06
"37",37,263,4e+06,34050000,0,2,1,0,1,0,0,1,0,0,1500000
"38",34,2385,5333333.33333333,106550000,18,5,1,0,1,0,0,1,0,0,1666666.66666667
