competition,year,link,name,abbrev,num_players,avg_age,num_foreigners,total_market_value
Premier League,2018,https://www.transfermarkt.es/manchester-city/kader/verein/281/saison_id/2018,Manchester City,46,,34.0,,1200000000.0
Premier League,2018,https://www.transfermarkt.es/liverpool-fc/kader/verein/31/saison_id/2018,Liverpool FC,39,,25.0,,1170000000.0
Premier League,2018,https://www.transfermarkt.es/chelsea-fc/kader/verein/631/saison_id/2018,Chelsea FC,54,,40.0,,1170000000.0
Premier League,2018,https://www.transfermarkt.es/tottenham-hotspur/kader/verein/148/saison_id/2018,Tottenham Hotspur,34,,20.0,,898600000.0
Premier League,2018,https://www.transfermarkt.es/manchester-united/kader/verein/985/saison_id/2018,Manchester United,36,,22.0,,797600000.0
Premier League,2018,https://www.transfermarkt.es/arsenal-fc/kader/verein/11/saison_id/2018,Arsenal FC,42,,28.0,,659050000.0
Premier League,2018,https://www.transfermarkt.es/everton-fc/kader/verein/29/saison_id/2018,Everton FC,40,,28.0,,529100000.0
Premier League,2018,https://www.transfermarkt.es/leicester-city/kader/verein/1003/saison_id/2018,Leicester City,37,,26.0,,434100000.0
Premier League,2018,https://www.transfermarkt.es/west-ham-united/kader/verein/379/saison_id/2018,West Ham United,37,,23.0,,359000000.0
Premier League,2018,https://www.transfermarkt.es/afc-bournemouth/kader/verein/989/saison_id/2018,AFC Bournemouth,37,,16.0,,310000000.0
Premier League,2018,https://www.transfermarkt.es/southampton-fc/kader/verein/180/saison_id/2018,Southampton FC,40,,18.0,,305400000.0
Premier League,2018,https://www.transfermarkt.es/wolverhampton-wanderers/kader/verein/543/saison_id/2018,Wolverhampton Wanderers,40,,26.0,,302900000.0
Premier League,2018,https://www.transfermarkt.es/crystal-palace/kader/verein/873/saison_id/2018,Crystal Palace,36,,21.0,,289000000.0
Premier League,2018,https://www.transfermarkt.es/fulham-fc/kader/verein/931/saison_id/2018,Fulham FC,33,,25.0,,254250000.0
Premier League,2018,https://www.transfermarkt.es/newcastle-united/kader/verein/762/saison_id/2018,Newcastle United,37,,22.0,,244650000.0
Premier League,2018,https://www.transfermarkt.es/watford-fc/kader/verein/1010/saison_id/2018,Watford FC,39,,32.0,,239100000.0
Premier League,2018,https://www.transfermarkt.es/burnley-fc/kader/verein/1132/saison_id/2018,Burnley FC,33,,14.0,,197250000.0
Premier League,2018,https://www.transfermarkt.es/brighton-amp-hove-albion/kader/verein/1237/saison_id/2018,Brighton & Hove Albion,41,,29.0,,194350000.0
Premier League,2018,https://www.transfermarkt.es/huddersfield-town/kader/verein/1110/saison_id/2018,Huddersfield Town,33,,21.0,,137450000.0
Premier League,2018,https://www.transfermarkt.es/cardiff-city/kader/verein/603/saison_id/2018,Cardiff City,35,,20.0,,113000000.0
Premier League,2019,https://www.transfermarkt.es/manchester-city/kader/verein/281/saison_id/2019,Manchester City,34,,23.0,,1050000000.0
Premier League,2019,https://www.transfermarkt.es/liverpool-fc/kader/verein/31/saison_id/2019,Liverpool FC,56,,31.0,,1000000000.0
Premier League,2019,https://www.transfermarkt.es/tottenham-hotspur/kader/verein/148/saison_id/2019,Tottenham Hotspur,36,,22.0,,806800000.0
Premier League,2019,https://www.transfermarkt.es/chelsea-fc/kader/verein/631/saison_id/2019,Chelsea FC,36,,22.0,,705850000.0
Premier League,2019,https://www.transfermarkt.es/manchester-united/kader/verein/985/saison_id/2019,Manchester United,43,,24.0,,670450000.0
Premier League,2019,https://www.transfermarkt.es/arsenal-fc/kader/verein/11/saison_id/2019,Arsenal FC,38,,23.0,,607650000.0
Premier League,2019,https://www.transfermarkt.es/everton-fc/kader/verein/29/saison_id/2019,Everton FC,35,,21.0,,420300000.0
Premier League,2019,https://www.transfermarkt.es/leicester-city/kader/verein/1003/saison_id/2019,Leicester City,32,,18.0,,411100000.0
Premier League,2019,https://www.transfermarkt.es/wolverhampton-wanderers/kader/verein/543/saison_id/2019,Wolverhampton Wanderers,44,,30.0,,320330000.0
Premier League,2019,https://www.transfermarkt.es/west-ham-united/kader/verein/379/saison_id/2019,West Ham United,38,,24.0,,303600000.0
Premier League,2019,https://www.transfermarkt.es/afc-bournemouth/kader/verein/989/saison_id/2019,AFC Bournemouth,39,,16.0,,272180000.0
Premier League,2019,https://www.transfermarkt.es/newcastle-united/kader/verein/762/saison_id/2019,Newcastle United,41,,22.0,,252480000.0
Premier League,2019,https://www.transfermarkt.es/aston-villa/kader/verein/405/saison_id/2019,Aston Villa,38,,22.0,,231700000.0
Premier League,2019,https://www.transfermarkt.es/southampton-fc/kader/verein/180/saison_id/2019,Southampton FC,36,,18.0,,210750000.0
Premier League,2019,https://www.transfermarkt.es/brighton-amp-hove-albion/kader/verein/1237/saison_id/2019,Brighton & Hove Albion,45,,28.0,,200780000.0
Premier League,2019,https://www.transfermarkt.es/watford-fc/kader/verein/1010/saison_id/2019,Watford FC,43,,27.0,,199600000.0
Premier League,2019,https://www.transfermarkt.es/crystal-palace/kader/verein/873/saison_id/2019,Crystal Palace,33,,18.0,,189330000.0
Premier League,2019,https://www.transfermarkt.es/burnley-fc/kader/verein/1132/saison_id/2019,Burnley FC,35,,12.0,,163880000.0
Premier League,2019,https://www.transfermarkt.es/norwich-city/kader/verein/1123/saison_id/2019,Norwich City,38,,25.0,,145400000.0
Premier League,2019,https://www.transfermarkt.es/sheffield-united/kader/verein/350/saison_id/2019,Sheffield United,34,,15.0,,138600000.0
Premier League,2020,https://www.transfermarkt.es/manchester-city/kader/verein/281/saison_id/2020,Manchester City,36,,23.0,,1040000000.0
Premier League,2020,https://www.transfermarkt.es/liverpool-fc/kader/verein/31/saison_id/2020,Liverpool FC,43,,28.0,,969650000.0
Premier League,2020,https://www.transfermarkt.es/chelsea-fc/kader/verein/631/saison_id/2020,Chelsea FC,39,,23.0,,889200000.0
Premier League,2020,https://www.transfermarkt.es/manchester-united/kader/verein/985/saison_id/2020,Manchester United,39,,24.0,,770050000.0
Premier League,2020,https://www.transfermarkt.es/tottenham-hotspur/kader/verein/148/saison_id/2020,Tottenham Hotspur,41,,23.0,,703500000.0
Premier League,2020,https://www.transfermarkt.es/arsenal-fc/kader/verein/11/saison_id/2020,Arsenal FC,42,,26.0,,619250000.0
Premier League,2020,https://www.transfermarkt.es/everton-fc/kader/verein/29/saison_id/2020,Everton FC,44,,26.0,,511200000.0
Premier League,2020,https://www.transfermarkt.es/leicester-city/kader/verein/1003/saison_id/2020,Leicester City,40,,26.0,,510700000.0
Premier League,2020,https://www.transfermarkt.es/wolverhampton-wanderers/kader/verein/543/saison_id/2020,Wolverhampton Wanderers,38,,32.0,,450300000.0
Premier League,2020,https://www.transfermarkt.es/aston-villa/kader/verein/405/saison_id/2020,Aston Villa,53,,24.0,,430750000.0
Premier League,2020,https://www.transfermarkt.es/west-ham-united/kader/verein/379/saison_id/2020,West Ham United,39,,23.0,,334900000.0
Premier League,2020,https://www.transfermarkt.es/brighton-amp-hove-albion/kader/verein/1237/saison_id/2020,Brighton & Hove Albion,46,,28.0,,290400000.0
Premier League,2020,https://www.transfermarkt.es/southampton-fc/kader/verein/180/saison_id/2020,Southampton FC,39,,19.0,,282800000.0
Premier League,2020,https://www.transfermarkt.es/newcastle-united/kader/verein/762/saison_id/2020,Newcastle United,33,,18.0,,255350000.0
Premier League,2020,https://www.transfermarkt.es/fulham-fc/kader/verein/931/saison_id/2020,Fulham FC,38,,29.0,,239750000.0
Premier League,2020,https://www.transfermarkt.es/leeds-united/kader/verein/399/saison_id/2020,Leeds United,39,,23.0,,238100000.0
Premier League,2020,https://www.transfermarkt.es/crystal-palace/kader/verein/873/saison_id/2020,Crystal Palace,36,,18.0,,193850000.0
Premier League,2020,https://www.transfermarkt.es/sheffield-united/kader/verein/350/saison_id/2020,Sheffield United,40,,14.0,,149850000.0
Premier League,2020,https://www.transfermarkt.es/west-bromwich-albion/kader/verein/984/saison_id/2020,West Bromwich Albion,43,,18.0,,141150000.0
Premier League,2020,https://www.transfermarkt.es/burnley-fc/kader/verein/1132/saison_id/2020,Burnley FC,32,,11.0,,132300000.0
Premier League,2021,https://www.transfermarkt.es/manchester-city/kader/verein/281/saison_id/2021,Manchester City,23,,16.0,,991300000.0
Premier League,2021,https://www.transfermarkt.es/liverpool-fc/kader/verein/31/saison_id/2021,Liverpool FC,27,,19.0,,889000000.0
Premier League,2021,https://www.transfermarkt.es/chelsea-fc/kader/verein/631/saison_id/2021,Chelsea FC,27,,19.0,,883000000.0
